ticker,period,period_type,is_estimate,metric,value,name
214370,2025.09,quarterly,0,bps,4409.0,케어젠
214370,2025.12,quarterly,0,bps,4348.0,케어젠
214370,2026.03,quarterly,0,bps,4388.0,케어젠
214370,2026.06,quarterly,1,bps,,케어젠
214370,2023.12,annual,0,pbr,5.94,케어젠
214370,2024.12,annual,0,pbr,6.31,케어젠
214370,2025.12,annual,0,pbr,16.51,케어젠
214370,2026.12,annual,1,pbr,,케어젠
214370,2025.03,quarterly,0,pbr,5.78,케어젠
214370,2025.06,quarterly,0,pbr,7.72,케어젠
214370,2025.09,quarterly,0,pbr,14.17,케어젠
214370,2025.12,quarterly,0,pbr,16.51,케어젠
214370,2026.03,quarterly,0,pbr,20.69,케어젠
214370,2026.06,quarterly,1,pbr,,케어젠
214370,2023.12,annual,0,dps,640.0,케어젠
214370,2024.12,annual,0,dps,640.0,케어젠
214370,2025.12,annual,0,dps,437.0,케어젠
214370,2026.12,annual,1,dps,,케어젠
214370,2025.03,quarterly,0,dps,,케어젠
214370,2025.06,quarterly,0,dps,237.0,케어젠
214370,2025.09,quarterly,0,dps,,케어젠
214370,2025.12,quarterly,0,dps,200.0,케어젠
214370,2026.03,quarterly,0,dps,,케어젠
214370,2026.06,quarterly,1,dps,,케어젠
214370,2023.12,annual,0,dividend_yield,2.33,케어젠
214370,2024.12,annual,0,dividend_yield,2.22,케어젠
214370,2025.12,annual,0,dividend_yield,0.61,케어젠
214370,2026.12,annual,1,dividend_yield,,케어젠
214370,2025.03,quarterly,0,dividend_yield,,케어젠
214370,2025.06,quarterly,0,dividend_yield,0.69,케어젠
214370,2025.09,quarterly,0,dividend_yield,,케어젠
214370,2025.12,quarterly,0,dividend_yield,0.28,케어젠
214370,2026.03,quarterly,0,dividend_yield,,케어젠
214370,2026.06,quarterly,1,dividend_yield,,케어젠
214370,2023.12,annual,0,payout_ratio,78.75,케어젠
214370,2024.12,annual,0,payout_ratio,96.99,케어젠
214370,2025.12,annual,0,payout_ratio,106.26,케어젠
214370,2026.12,annual,1,payout_ratio,,케어젠
214370,2025.03,quarterly,0,payout_ratio,,케어젠
214370,2025.06,quarterly,0,payout_ratio,241.56,케어젠
214370,2025.09,quarterly,0,payout_ratio,,케어젠
214370,2025.12,quarterly,0,payout_ratio,-297.86,케어젠
214370,2026.03,quarterly,0,payout_ratio,,케어젠
214370,2026.06,quarterly,1,payout_ratio,,케어젠
217330,2023.12,annual,0,revenue,32.0,싸이토젠
217330,2024.12,annual,0,revenue,109.0,싸이토젠
217330,2025.12,annual,0,revenue,261.0,싸이토젠
217330,2026.12,annual,1,revenue,,싸이토젠
217330,2025.03,quarterly,0,revenue,56.0,싸이토젠
217330,2025.06,quarterly,0,revenue,63.0,싸이토젠
217330,2025.09,quarterly,0,revenue,76.0,싸이토젠
217330,2025.12,quarterly,0,revenue,65.0,싸이토젠
217330,2026.03,quarterly,0,revenue,64.0,싸이토젠
217330,2026.06,quarterly,1,revenue,,싸이토젠
217330,2023.12,annual,0,operating_profit,-118.0,싸이토젠
217330,2024.12,annual,0,operating_profit,-107.0,싸이토젠
217330,2025.12,annual,0,operating_profit,-82.0,싸이토젠
217330,2026.12,annual,1,operating_profit,,싸이토젠
217330,2025.03,quarterly,0,operating_profit,-24.0,싸이토젠
217330,2025.06,quarterly,0,operating_profit,-19.0,싸이토젠
217330,2025.09,quarterly,0,operating_profit,-13.0,싸이토젠
217330,2025.12,quarterly,0,operating_profit,-26.0,싸이토젠
217330,2026.03,quarterly,0,operating_profit,-15.0,싸이토젠
217330,2026.06,quarterly,1,operating_profit,,싸이토젠
217330,2023.12,annual,0,net_profit,-158.0,싸이토젠
217330,2024.12,annual,0,net_profit,-171.0,싸이토젠
217330,2025.12,annual,0,net_profit,-123.0,싸이토젠
217330,2026.12,annual,1,net_profit,,싸이토젠
217330,2025.03,quarterly,0,net_profit,-24.0,싸이토젠
217330,2025.06,quarterly,0,net_profit,-28.0,싸이토젠
217330,2025.09,quarterly,0,net_profit,-16.0,싸이토젠
217330,2025.12,quarterly,0,net_profit,-55.0,싸이토젠
217330,2026.03,quarterly,0,net_profit,-13.0,싸이토젠
217330,2026.06,quarterly,1,net_profit,,싸이토젠
217330,2023.12,annual,0,op_margin,-370.3,싸이토젠
217330,2024.12,annual,0,op_margin,-97.75,싸이토젠
217330,2025.12,annual,0,op_margin,-31.33,싸이토젠
217330,2026.12,annual,1,op_margin,,싸이토젠
217330,2025.03,quarterly,0,op_margin,-42.3,싸이토젠
217330,2025.06,quarterly,0,op_margin,-30.67,싸이토젠
217330,2025.09,quarterly,0,op_margin,-17.2,싸이토젠
217330,2025.12,quarterly,0,op_margin,-39.06,싸이토젠
217330,2026.03,quarterly,0,op_margin,-23.05,싸이토젠
217330,2026.06,quarterly,1,op_margin,,싸이토젠
217330,2023.12,annual,0,net_margin,-495.22,싸이토젠
217330,2024.12,annual,0,net_margin,-156.88,싸이토젠
217330,2025.12,annual,0,net_margin,-47.36,싸이토젠
217330,2026.12,annual,1,net_margin,,싸이토젠
217330,2025.03,quarterly,0,net_margin,-43.45,싸이토젠
217330,2025.06,quarterly,0,net_margin,-45.07,싸이토젠
217330,2025.09,quarterly,0,net_margin,-21.25,싸이토젠
217330,2025.12,quarterly,0,net_margin,-83.32,싸이토젠
217330,2026.03,quarterly,0,net_margin,-19.94,싸이토젠
217330,2026.06,quarterly,1,net_margin,,싸이토젠
217330,2023.12,annual,0,roe,-53.45,싸이토젠
217330,2024.12,annual,0,roe,-33.58,싸이토젠
217330,2025.12,annual,0,roe,-29.34,싸이토젠
217330,2026.12,annual,1,roe,,싸이토젠
217330,2025.03,quarterly,0,roe,-32.15,싸이토젠
217330,2025.06,quarterly,0,roe,-33.86,싸이토젠
217330,2025.09,quarterly,0,roe,-30.64,싸이토젠
217330,2025.12,quarterly,0,roe,-29.34,싸이토젠
217330,2026.03,quarterly,0,roe,-27.99,싸이토젠
217330,2026.06,quarterly,1,roe,,싸이토젠
217330,2023.12,annual,0,debt_ratio,39.54,싸이토젠
217330,2024.12,annual,0,debt_ratio,48.09,싸이토젠
217330,2025.12,annual,0,debt_ratio,72.92,싸이토젠
217330,2026.12,annual,1,debt_ratio,,싸이토젠
217330,2025.03,quarterly,0,debt_ratio,53.58,싸이토젠
217330,2025.06,quarterly,0,debt_ratio,58.15,싸이토젠
217330,2025.09,quarterly,0,debt_ratio,62.46,싸이토젠
217330,2025.12,quarterly,0,debt_ratio,72.92,싸이토젠
217330,2026.03,quarterly,0,debt_ratio,67.22,싸이토젠
217330,2026.06,quarterly,1,debt_ratio,,싸이토젠
217330,2023.12,annual,0,quick_ratio,520.56,싸이토젠
217330,2024.12,annual,0,quick_ratio,983.18,싸이토젠
217330,2025.12,annual,0,quick_ratio,263.13,싸이토젠
217330,2026.12,annual,1,quick_ratio,,싸이토젠
217330,2025.03,quarterly,0,quick_ratio,324.79,싸이토젠
217330,2025.06,quarterly,0,quick_ratio,305.76,싸이토젠
217330,2025.09,quarterly,0,quick_ratio,291.55,싸이토젠
217330,2025.12,quarterly,0,quick_ratio,263.13,싸이토젠
217330,2026.03,quarterly,0,quick_ratio,304.4,싸이토젠
217330,2026.06,quarterly,1,quick_ratio,,싸이토젠
217330,2023.12,annual,0,retention,354.16,싸이토젠
217330,2024.12,annual,0,retention,285.76,싸이토젠
217330,2025.12,annual,0,retention,172.1,싸이토젠
217330,2026.12,annual,1,retention,,싸이토젠
217330,2025.03,quarterly,0,retention,264.73,싸이토젠
217330,2025.06,quarterly,0,retention,235.92,싸이토젠
217330,2025.09,quarterly,0,retention,221.89,싸이토젠
217330,2025.12,quarterly,0,retention,172.1,싸이토젠
217330,2026.03,quarterly,0,retention,156.7,싸이토젠
217330,2026.06,quarterly,1,retention,,싸이토젠
217330,2023.12,annual,0,eps,-859.0,싸이토젠
217330,2024.12,annual,0,eps,-756.0,싸이토젠
217330,2025.12,annual,0,eps,-534.0,싸이토젠
217330,2026.12,annual,1,eps,,싸이토젠
217330,2025.03,quarterly,0,eps,-105.0,싸이토젠
217330,2025.06,quarterly,0,eps,-123.0,싸이토젠
217330,2025.09,quarterly,0,eps,-70.0,싸이토젠
217330,2025.12,quarterly,0,eps,-236.0,싸이토젠
217330,2026.03,quarterly,0,eps,-55.0,싸이토젠
217330,2026.06,quarterly,1,eps,,싸이토젠
217330,2023.12,annual,0,per,-15.73,싸이토젠
217330,2024.12,annual,0,per,-6.0,싸이토젠
217330,2025.12,annual,0,per,-16.85,싸이토젠
217330,2026.12,annual,1,per,,싸이토젠
217330,2025.03,quarterly,0,per,-4.83,싸이토젠
217330,2025.06,quarterly,0,per,-4.41,싸이토젠
217330,2025.09,quarterly,0,per,-3.79,싸이토젠
217330,2025.12,quarterly,0,per,-16.85,싸이토젠
217330,2026.03,quarterly,0,per,-8.78,싸이토젠
217330,2026.06,quarterly,1,per,,싸이토젠
217330,2023.12,annual,0,bps,2401.0,싸이토젠
217330,2024.12,annual,0,bps,2106.0,싸이토젠
217330,2025.12,annual,0,bps,1538.0,싸이토젠
217330,2026.12,annual,1,bps,,싸이토젠
217330,2025.03,quarterly,0,bps,2005.0,싸이토젠
217330,2025.06,quarterly,0,bps,1856.0,싸이토젠
217330,2025.09,quarterly,0,bps,1788.0,싸이토젠
217330,2025.12,quarterly,0,bps,1538.0,싸이토젠
217330,2026.03,quarterly,0,bps,1456.0,싸이토젠
217330,2026.06,quarterly,1,bps,,싸이토젠
217330,2023.12,annual,0,pbr,5.63,싸이토젠
217330,2024.12,annual,0,pbr,2.15,싸이토젠
217330,2025.12,annual,0,pbr,5.85,싸이토젠
217330,2026.12,annual,1,pbr,,싸이토젠
217330,2025.03,quarterly,0,pbr,1.75,싸이토젠
217330,2025.06,quarterly,0,pbr,1.7,싸이토젠
217330,2025.09,quarterly,0,pbr,1.4,싸이토젠
217330,2025.12,quarterly,0,pbr,5.85,싸이토젠
217330,2026.03,quarterly,0,pbr,2.92,싸이토젠
217330,2026.06,quarterly,1,pbr,,싸이토젠
217330,2023.12,annual,0,dps,,싸이토젠
217330,2024.12,annual,0,dps,,싸이토젠
217330,2025.12,annual,0,dps,,싸이토젠
217330,2026.12,annual,1,dps,,싸이토젠
217330,2025.03,quarterly,0,dps,,싸이토젠
217330,2025.06,quarterly,0,dps,,싸이토젠
217330,2025.09,quarterly,0,dps,,싸이토젠
217330,2025.12,quarterly,0,dps,,싸이토젠
217330,2026.03,quarterly,0,dps,,싸이토젠
217330,2026.06,quarterly,1,dps,,싸이토젠
217330,2023.12,annual,0,dividend_yield,,싸이토젠
217330,2024.12,annual,0,dividend_yield,,싸이토젠
217330,2025.12,annual,0,dividend_yield,,싸이토젠
217330,2026.12,annual,1,dividend_yield,,싸이토젠
217330,2025.03,quarterly,0,dividend_yield,,싸이토젠
217330,2025.06,quarterly,0,dividend_yield,,싸이토젠
217330,2025.09,quarterly,0,dividend_yield,,싸이토젠
217330,2025.12,quarterly,0,dividend_yield,,싸이토젠
217330,2026.03,quarterly,0,dividend_yield,,싸이토젠
217330,2026.06,quarterly,1,dividend_yield,,싸이토젠
217330,2023.12,annual,0,payout_ratio,,싸이토젠
217330,2024.12,annual,0,payout_ratio,,싸이토젠
217330,2025.12,annual,0,payout_ratio,,싸이토젠
217330,2026.12,annual,1,payout_ratio,,싸이토젠
217330,2025.03,quarterly,0,payout_ratio,,싸이토젠
217330,2025.06,quarterly,0,payout_ratio,,싸이토젠
217330,2025.09,quarterly,0,payout_ratio,,싸이토젠
217330,2025.12,quarterly,0,payout_ratio,,싸이토젠
217330,2026.03,quarterly,0,payout_ratio,,싸이토젠
217330,2026.06,quarterly,1,payout_ratio,,싸이토젠
085660,2023.12,annual,0,revenue,9540.0,차바이오텍
085660,2024.12,annual,0,revenue,10450.0,차바이오텍
