ticker,period,period_type,is_estimate,metric,value,name,sector
000660,2023.12,annual,0,net_profit,-91375.0,SK하이닉스,반도체_메모리
000660,2024.12,annual,0,net_profit,197969.0,SK하이닉스,반도체_메모리
000660,2025.12,annual,0,net_profit,429479.0,SK하이닉스,반도체_메모리
000660,2026.12,annual,1,net_profit,1689292.0,SK하이닉스,반도체_메모리
000660,2024.12,quarterly,0,net_profit,80065.0,SK하이닉스,반도체_메모리
000660,2025.03,quarterly,0,net_profit,81082.0,SK하이닉스,반도체_메모리
000660,2025.06,quarterly,0,net_profit,69962.0,SK하이닉스,반도체_메모리
000660,2025.09,quarterly,0,net_profit,125975.0,SK하이닉스,반도체_메모리
000660,2025.12,quarterly,0,net_profit,152460.0,SK하이닉스,반도체_메모리
000660,2026.03,quarterly,1,net_profit,253866.0,SK하이닉스,반도체_메모리
000660,2023.12,annual,0,op_margin,-23.59,SK하이닉스,반도체_메모리
000660,2024.12,annual,0,op_margin,35.45,SK하이닉스,반도체_메모리
000660,2025.12,annual,0,op_margin,48.59,SK하이닉스,반도체_메모리
000660,2026.12,annual,1,op_margin,73.26,SK하이닉스,반도체_메모리
000660,2024.12,quarterly,0,op_margin,40.89,SK하이닉스,반도체_메모리
000660,2025.03,quarterly,0,op_margin,42.18,SK하이닉스,반도체_메모리
000660,2025.06,quarterly,0,op_margin,41.44,SK하이닉스,반도체_메모리
000660,2025.09,quarterly,0,op_margin,46.56,SK하이닉스,반도체_메모리
000660,2025.12,quarterly,0,op_margin,58.4,SK하이닉스,반도체_메모리
000660,2026.03,quarterly,1,op_margin,69.6,SK하이닉스,반도체_메모리
000660,2023.12,annual,0,net_margin,-27.89,SK하이닉스,반도체_메모리
000660,2024.12,annual,0,net_margin,29.91,SK하이닉스,반도체_메모리
000660,2025.12,annual,0,net_margin,44.21,SK하이닉스,반도체_메모리
000660,2026.12,annual,1,net_margin,58.48,SK하이닉스,반도체_메모리
000660,2024.12,quarterly,0,net_margin,40.5,SK하이닉스,반도체_메모리
000660,2025.03,quarterly,0,net_margin,45.97,SK하이닉스,반도체_메모리
000660,2025.06,quarterly,0,net_margin,31.47,SK하이닉스,반도체_메모리
000660,2025.09,quarterly,0,net_margin,51.53,SK하이닉스,반도체_메모리
000660,2025.12,quarterly,0,net_margin,46.44,SK하이닉스,반도체_메모리
000660,2026.03,quarterly,1,net_margin,50.67,SK하이닉스,반도체_메모리
000660,2023.12,annual,0,roe,-15.61,SK하이닉스,반도체_메모리
000660,2024.12,annual,0,roe,31.06,SK하이닉스,반도체_메모리
000660,2025.12,annual,0,roe,44.15,SK하이닉스,반도체_메모리
000660,2026.12,annual,1,roe,83.48,SK하이닉스,반도체_메모리
000660,2024.12,quarterly,0,roe,31.06,SK하이닉스,반도체_메모리
000660,2025.03,quarterly,0,roe,37.94,SK하이닉스,반도체_메모리
000660,2025.06,quarterly,0,roe,39.27,SK하이닉스,반도체_메모리
000660,2025.09,quarterly,0,roe,43.2,SK하이닉스,반도체_메모리
000660,2025.12,quarterly,0,roe,44.15,SK하이닉스,반도체_메모리
000660,2026.03,quarterly,1,roe,,SK하이닉스,반도체_메모리
000660,2023.12,annual,0,debt_ratio,87.52,SK하이닉스,반도체_메모리
000660,2024.12,annual,0,debt_ratio,62.15,SK하이닉스,반도체_메모리
000660,2025.12,annual,0,debt_ratio,45.95,SK하이닉스,반도체_메모리
000660,2026.12,annual,1,debt_ratio,,SK하이닉스,반도체_메모리
000660,2024.12,quarterly,0,debt_ratio,62.15,SK하이닉스,반도체_메모리
000660,2025.03,quarterly,0,debt_ratio,52.24,SK하이닉스,반도체_메모리
000660,2025.06,quarterly,0,debt_ratio,48.13,SK하이닉스,반도체_메모리
000660,2025.09,quarterly,0,debt_ratio,48.43,SK하이닉스,반도체_메모리
000660,2025.12,quarterly,0,debt_ratio,45.95,SK하이닉스,반도체_메모리
000660,2026.03,quarterly,1,debt_ratio,,SK하이닉스,반도체_메모리
000660,2023.12,annual,0,quick_ratio,75.97,SK하이닉스,반도체_메모리
000660,2024.12,annual,0,quick_ratio,113.24,SK하이닉스,반도체_메모리
000660,2025.12,annual,0,quick_ratio,132.97,SK하이닉스,반도체_메모리
000660,2026.12,annual,1,quick_ratio,,SK하이닉스,반도체_메모리
000660,2024.12,quarterly,0,quick_ratio,113.24,SK하이닉스,반도체_메모리
000660,2025.03,quarterly,0,quick_ratio,104.14,SK하이닉스,반도체_메모리
000660,2025.06,quarterly,0,quick_ratio,117.87,SK하이닉스,반도체_메모리
000660,2025.09,quarterly,0,quick_ratio,134.9,SK하이닉스,반도체_메모리
000660,2025.12,quarterly,0,quick_ratio,132.97,SK하이닉스,반도체_메모리
000660,2026.03,quarterly,1,quick_ratio,,SK하이닉스,반도체_메모리
000660,2023.12,annual,0,retention,1397.12,SK하이닉스,반도체_메모리
000660,2024.12,annual,0,retention,1911.2,SK하이닉스,반도체_메모리
000660,2025.12,annual,0,retention,3158.59,SK하이닉스,반도체_메모리
000660,2026.12,annual,1,retention,,SK하이닉스,반도체_메모리
000660,2024.12,quarterly,0,retention,1911.2,SK하이닉스,반도체_메모리
000660,2025.03,quarterly,0,retention,2114.39,SK하이닉스,반도체_메모리
000660,2025.06,quarterly,0,retention,2298.84,SK하이닉스,반도체_메모리
000660,2025.09,quarterly,0,retention,2636.87,SK하이닉스,반도체_메모리
000660,2025.12,quarterly,0,retention,3158.59,SK하이닉스,반도체_메모리
000660,2026.03,quarterly,1,retention,,SK하이닉스,반도체_메모리
000660,2023.12,annual,0,eps,-12517.0,SK하이닉스,반도체_메모리
000660,2024.12,annual,0,eps,27182.0,SK하이닉스,반도체_메모리
000660,2025.12,annual,0,eps,58955.0,SK하이닉스,반도체_메모리
000660,2026.12,annual,1,eps,237486.0,SK하이닉스,반도체_메모리
000660,2024.12,quarterly,0,eps,10990.0,SK하이닉스,반도체_메모리
000660,2025.03,quarterly,0,eps,11136.0,SK하이닉스,반도체_메모리
000660,2025.06,quarterly,0,eps,9612.0,SK하이닉스,반도체_메모리
000660,2025.09,quarterly,0,eps,17301.0,SK하이닉스,반도체_메모리
000660,2025.12,quarterly,0,eps,20906.0,SK하이닉스,반도체_메모리
000660,2026.03,quarterly,1,eps,41031.0,SK하이닉스,반도체_메모리
000660,2023.12,annual,0,per,-11.3,SK하이닉스,반도체_메모리
000660,2024.12,annual,0,per,6.4,SK하이닉스,반도체_메모리
000660,2025.12,annual,0,per,11.04,SK하이닉스,반도체_메모리
000660,2026.12,annual,1,per,5.16,SK하이닉스,반도체_메모리
000660,2024.12,quarterly,0,per,6.4,SK하이닉스,반도체_메모리
000660,2025.03,quarterly,0,per,5.34,SK하이닉스,반도체_메모리
