ticker,name,updated,actual_period,est_period,q_period,q_est_period,per,pbr,eps,bps,roe,op_margin,net_margin,dividend_yield,payout_ratio,debt_ratio,revenue,operating_profit,net_profit,per_est,pbr_est,eps_est,bps_est,roe_est,op_margin_est,net_margin_est,dividend_yield_est,payout_ratio_est,debt_ratio_est,revenue_est,operating_profit_est,net_profit_est,per_q,pbr_q,eps_q,bps_q,roe_q,op_margin_q,net_margin_q,dividend_yield_q,payout_ratio_q,debt_ratio_q,revenue_q,operating_profit_q,net_profit_q,per_q_est,pbr_q_est,eps_q_est,bps_q_est,roe_q_est,op_margin_q_est,net_margin_q_est,dividend_yield_q_est,payout_ratio_q_est,debt_ratio_q_est,revenue_q_est,operating_profit_q_est,net_profit_q_est
378850,화승알앤에이,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,3.41,0.37,960.0,8788.0,11.49,3.79,2.55,2.29,7.81,187.6,7146.0,271.0,182.0,,,,,,,,,,,,,,3.41,0.37,324.0,8788.0,11.49,1.98,3.33,2.29,23.14,187.6,1850.0,37.0,62.0,,,,,,,,,,,,,
008500,일정실업,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,1.12,0.95,2751.0,3224.0,129.88,3.98,45.08,3.26,3.64,105.76,366.0,15.0,165.0,,,,,,,,,,,,,,1.12,0.95,2573.0,3224.0,129.88,1.76,164.79,3.26,3.89,105.76,94.0,2.0,154.0,,,,,,,,,,,,,
001620,케이비아이동국실업,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,1.74,0.21,283.0,2366.0,13.01,2.3,3.91,,,221.58,8080.0,186.0,316.0,,,,,,,,,,,,,,1.74,0.21,238.0,2366.0,13.01,6.61,12.53,,,221.58,2153.0,142.0,270.0,,,,,,,,,,,,,
013570,디와이,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,8.74,0.29,534.0,15901.0,3.62,3.86,2.41,3.64,31.83,75.63,12448.0,481.0,300.0,,,,,,,,,,,,,,8.74,0.29,-70.0,15901.0,3.62,1.26,0.05,3.64,-242.76,75.63,3149.0,40.0,2.0,,,,,,,,,,,,,
025530,SJM홀딩스,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,6.65,0.29,564.0,12785.0,4.96,5.13,7.08,6.67,40.24,19.76,2058.0,106.0,146.0,,,,,,,,,,,,,,6.65,0.29,89.0,12785.0,4.96,-1.98,0.93,6.67,255.95,19.76,504.0,-10.0,5.0,,,,,,,,,,,,,
038950,파인디지털,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-28.92,0.29,-112.0,11183.0,-1.23,-7.29,-1.93,1.55,-35.95,8.77,629.0,-46.0,-12.0,,,,,,,,,,,,,,-28.92,0.29,146.0,11183.0,-1.23,0.8,9.2,1.55,27.44,8.77,161.0,1.0,15.0,,,,,,,,,,,,,
066575,LG전자우,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,17.27,0.69,5321.0,132659.0,4.28,2.78,1.37,2.89,25.37,140.33,892009.0,24784.0,12204.0,13.44,0.92,9486.0,138174.0,7.01,3.91,2.21,,,,926222.0,36245.0,20476.0,17.27,0.69,-4599.0,132659.0,4.28,-0.46,-3.04,1.86,-18.56,140.33,238522.0,-1090.0,-7259.0,29.97,,3613.0,,,5.93,4.4,,,,233177.0,13818.0,10270.0
008700,아남전자,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,17.26,0.76,76.0,1735.0,4.45,2.23,2.74,,,54.57,2153.0,48.0,59.0,,,,,,,,,,,,,,17.04,0.76,15.0,1735.0,4.5,0.72,2.58,,,54.57,455.0,3.0,12.0,,,,,,,,,,,,,
084730,팅크웨어,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-3.88,0.48,-2005.0,16025.0,-12.75,2.96,-3.96,,,70.24,5366.0,159.0,-212.0,14.39,0.51,599.0,16883.0,3.83,3.79,2.2,,,,6037.0,229.0,133.0,-3.88,0.48,-1968.0,16025.0,-12.75,2.32,-19.82,,,70.24,1237.0,29.0,-245.0,,,,,,,,,,,,,
032540,TJ미디어,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,19.69,0.94,191.0,4008.0,4.71,3.48,4.22,8.52,111.86,51.98,944.0,33.0,40.0,,,,,,,,,,,,,,19.69,0.94,84.0,4008.0,4.71,2.63,8.45,8.52,254.57,51.98,207.0,5.0,18.0,,,,,,,,,,,,,
028080,휴맥스홀딩스,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-0.73,0.58,-2252.0,2837.0,-66.7,-7.15,-20.88,,,434.55,4007.0,-287.0,-837.0,,,,,,,,,,,,,,-0.73,0.58,-621.0,2837.0,-66.7,-15.92,-30.4,,,434.55,885.0,-141.0,-269.0,,,,,,,,,,,,,
115160,휴맥스,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-0.45,0.38,-1776.0,2103.0,-63.14,-7.41,-20.65,,,410.84,3942.0,-292.0,-814.0,,,,,,,,,,,,,,-0.45,0.38,-594.0,2103.0,-63.14,-17.27,-32.77,,,410.84,867.0,-150.0,-284.0,,,,,,,,,,,,,
078890,가온그룹,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,15.76,0.82,370.0,7147.0,5.35,2.42,1.12,1.2,18.98,226.68,5175.0,125.0,58.0,9.54,0.91,706.0,7381.0,9.81,3.26,2.35,,,,5520.0,180.0,130.0,15.76,0.82,400.0,7147.0,5.35,6.03,4.71,1.2,17.49,226.68,1412.0,85.0,67.0,,,,,,,,,,,,,
154040,다산솔루에타,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,1.73,0.4,678.0,2929.0,26.55,5.45,38.75,,,56.52,314.0,17.0,122.0,,,,,,,,,,,,,,1.73,0.4,-512.0,2929.0,26.55,-15.76,-148.86,,,56.52,62.0,-10.0,-92.0,,,,,,,,,,,,,
297570,알로이스,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,7.82,0.84,143.0,1339.0,11.45,15.24,10.42,,,105.54,429.0,65.0,45.0,,,,,,,,,,,,,,-29.09,0.84,39.0,1339.0,-2.47,14.37,7.02,,,105.54,153.0,22.0,11.0,,,,,,,,,,,,,
089850,유비벨록스,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-10.84,0.59,-491.0,9085.0,-5.39,3.21,-2.91,1.71,10.86,110.44,6679.0,215.0,-194.0,,,,,,,,,,,,,,-10.84,0.59,-704.0,9085.0,-5.39,2.79,-15.14,,,110.44,1569.0,44.0,-238.0,,,,,,,,,,,,,
