ticker,name,sector,updated,actual_period,est_period,q_period,q_est_period,per,pbr,eps,bps,roe,op_margin,net_margin,dividend_yield,payout_ratio,debt_ratio,revenue,operating_profit,net_profit,per_est,pbr_est,eps_est,bps_est,roe_est,op_margin_est,net_margin_est,dividend_yield_est,payout_ratio_est,debt_ratio_est,revenue_est,operating_profit_est,net_profit_est,per_q,pbr_q,eps_q,bps_q,roe_q,op_margin_q,net_margin_q,dividend_yield_q,payout_ratio_q,debt_ratio_q,revenue_q,operating_profit_q,net_profit_q,per_q_est,pbr_q_est,eps_q_est,bps_q_est,roe_q_est,op_margin_q_est,net_margin_q_est,dividend_yield_q_est,payout_ratio_q_est,debt_ratio_q_est,revenue_q_est,operating_profit_q_est,net_profit_q_est
259960,크래프톤,게임,2026-05-22 05:01,2025.12,2026.12,2026.03,2026.06,15.94,1.56,15438.0,157747.0,10.6,31.7,22.06,0.91,13.55,31.31,33266.0,10544.0,7337.0,10.65,1.44,24928.0,184336.0,15.37,30.1,25.25,,,,47463.0,14288.0,11986.0,13.8,1.53,10859.0,166997.0,12.1,40.95,37.49,0.91,-498.42,31.8,13714.0,5616.0,5141.0,50.98,,5208.0,,,28.27,20.93,,,,11106.0,3140.0,2325.0
036570,엔씨소프트,게임,2026-05-22 05:01,2025.12,2026.12,2026.03,2026.06,12.58,1.16,16023.0,173511.0,10.79,1.07,23.05,0.57,6.43,28.56,15069.0,161.0,3474.0,12.08,1.34,21560.0,194601.0,12.98,19.22,18.14,,,,26089.0,5014.0,4734.0,10.54,1.23,6906.0,181808.0,14.0,20.32,27.35,0.57,-938.15,29.42,5574.0,1133.0,1524.0,52.83,,4931.0,,,19.7,16.57,,,,6457.0,1272.0,1070.0
251270,넷마블,게임,2026-05-22 05:01,2025.12,2026.12,2026.03,2026.06,18.43,0.73,2618.0,66269.0,4.15,12.43,8.14,1.82,31.9,47.36,28351.0,3525.0,2308.0,9.28,0.61,4520.0,69022.0,6.75,13.28,13.58,,,,29126.0,3868.0,3956.0,11.7,0.7,2501.0,70328.0,6.43,8.14,32.37,1.82,-148.31,43.19,6517.0,531.0,2109.0,43.05,,974.0,,,13.99,13.59,,,,7420.0,1038.0,1009.0
352820,하이브,엔터,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,-58.17,4.31,-5673.0,76643.0,-7.33,1.86,-9.6,0.15,-9.06,54.46,26499.0,493.0,-2544.0,45.69,2.78,4957.0,81447.0,6.35,6.65,4.85,,,,43557.0,2899.0,2114.0,-58.17,4.31,-6266.0,76643.0,-7.33,0.56,-37.99,0.15,-8.1,54.46,7164.0,40.0,-2722.0,243.75,,1034.0,,,6.79,6.89,,,,6326.0,429.0,436.0
035900,JYP Ent.,엔터,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,16.07,3.88,4519.0,18730.0,29.21,18.89,19.54,1.21,18.1,36.19,8219.0,1552.0,1606.0,15.41,2.69,3861.0,22144.0,20.26,19.84,15.43,,,,8883.0,1763.0,1371.0,16.07,3.88,779.0,18730.0,29.21,18.02,11.97,1.21,105.03,36.19,2326.0,419.0,279.0,95.4,,628.0,,,16.86,12.26,,,,1582.0,267.0,194.0
041510,에스엠,엔터,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,8.93,3.08,15126.0,43793.0,41.65,15.58,30.59,1.2,10.68,47.76,11749.0,1830.0,3594.0,14.07,1.76,5998.0,47992.0,13.07,15.64,11.35,,,,12862.0,2012.0,1459.0,8.93,3.08,1308.0,43793.0,41.65,17.12,9.74,1.2,123.88,47.76,3190.0,546.0,311.0,79.82,,1210.0,,,14.14,11.36,,,,2577.0,364.0,293.0
035760,CJ ENM,미디어_방송,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,48.02,0.48,1345.0,134461.0,1.06,2.59,0.33,,,151.51,51345.0,1329.0,170.0,16.67,0.3,2478.0,136385.0,1.93,2.97,1.2,,,,54316.0,1612.0,649.0,48.02,0.48,-3652.0,134461.0,1.06,5.98,-6.62,,,151.51,14378.0,860.0,-952.0,3610.68,,15.0,,,2.15,0.68,,,,12001.0,258.0,81.0
253450,스튜디오드래곤,미디어_방송,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,124.52,1.61,343.0,26623.0,1.34,5.72,1.94,,,29.27,5307.0,304.0,103.0,23.21,0.99,1198.0,28163.0,4.37,7.98,5.71,,,,6314.0,504.0,360.0,124.52,1.61,93.0,26623.0,1.34,12.7,1.91,,,29.27,1459.0,185.0,28.0,116.39,,299.0,,,6.56,5.4,,,,1455.0,96.0,79.0
034120,SBS,미디어_방송,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,43.2,0.27,433.0,69877.0,0.73,1.8,0.79,1.76,76.23,57.45,10085.0,182.0,79.0,12.71,0.23,1070.0,60199.0,1.65,2.64,1.97,,,,10144.0,268.0,200.0,43.2,0.27,-61.0,69877.0,0.73,1.69,-0.42,1.76,-536.69,57.45,2947.0,50.0,-12.0,,,,,,,,,,,,,
030000,제일기획,광고_마케팅,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,11.64,1.35,1804.0,15525.0,13.7,7.41,4.59,5.86,60.02,125.93,45469.0,3369.0,2086.0,9.56,1.17,1953.0,15951.0,14.09,7.22,4.78,,,,47210.0,3409.0,2259.0,11.64,1.35,553.0,15525.0,13.7,7.53,5.37,5.86,195.7,125.93,11997.0,904.0,644.0,68.08,,292.0,,,4.62,3.05,,,,10801.0,499.0,329.0
