ticker,name,sector,fy,ocf,capex_ppe,capex_intangible,capex,fcf,depr,marcap,pfr
225190,LK삼양,기타,2025,-3829731123.0,3619474593.0,78562000.0,3698036593.0,-7527767716.0,,142346248800.0,
217950,파마리서치바이오,기타,2025,13426892820.0,14156923300.0,408808000.0,14565731300.0,-1138838480.0,,142230160000.0,
049720,고려신용정보,기타,2025,17522353108.0,1262314249.0,203600000.0,1465914249.0,16056438859.0,7083042628.0,142142000000.0,8.85
417500,제이아이테크,기타,2025,9319612665.0,15977567065.0,217576300.0,16195143365.0,-6875530700.0,,141957941520.0,
235980,메드팩토,기타,2025,-13389815130.0,91245200.0,,91245200.0,-13481060330.0,,141899000940.0,
085670,뉴프렉스,기타,2025,14735235683.0,7630317042.0,400848029.0,8031165071.0,6704070612.0,10841667950.0,141859406190.0,21.16
223250,드림씨아이에스,기타,2025,14065261506.0,525748878.0,142838000.0,668586878.0,13396674628.0,,141698557440.0,10.58
027710,팜스토리,기타,2025,77390736399.0,23028343940.0,68500000.0,23096843940.0,54293892459.0,,141499082000.0,2.61
071280,로체시스템즈,기타,2025,22999247354.0,2892058384.0,2883166839.0,5775225223.0,17224022131.0,3697768292.0,141340611720.0,8.21
016740,두올,기타,2025,50653713341.0,20675571358.0,452490852.0,21128062210.0,29525651131.0,,141219568200.0,4.78
052420,오성첨단소재,기타,2025,28044556267.0,2102283463.0,72647463.0,2174930926.0,25869625341.0,,141064299008.0,5.45
307930,컴퍼니케이,기타,2025,4480183686.0,37605845.0,456850000.0,494455845.0,3985727841.0,,140333900000.0,35.21
122450,KX,기타,2025,71978777255.0,7577759286.0,8235132386.0,15812891672.0,56165885583.0,54030629620.0,139613782910.0,2.49
389030,지니너스,기타,2025,-7079975054.0,1335089474.0,44098191.0,1379187665.0,-8459162719.0,,139298223975.0,
054540,삼영엠텍,기타,2025,9797760951.0,,32055217.0,32055217.0,9765705734.0,,139230000000.0,14.26
040300,YTN,기타,2025,-4701106367.0,642145328.0,337297000.0,979442328.0,-5680548695.0,5177143662.0,139216781600.0,
001540,안국약품,기타,2025,45682704868.0,8464748126.0,,8464748126.0,37217956742.0,,138771348800.0,3.73
009580,무림P&P,제지,2025,-21566410129.0,161305560893.0,160419000.0,161465979893.0,-183032390022.0,,138769520900.0,
256940,킵스파마,기타,2025,-14920825169.0,31933148608.0,2953734500.0,34886883108.0,-49807708277.0,,138338432830.0,
052900,KX하이텍,기타,2025,20818631479.0,4924580887.0,2764668.0,4927345555.0,15891285924.0,,137989726752.0,8.68
079430,현대리바트,건설자재_가구,2025,37954944448.0,15855882018.0,,15855882018.0,22099062430.0,,137782283700.0,6.23
080420,모다이노칩,기타,2025,26993937288.0,49451390372.0,249720182.0,49701110554.0,-22707173266.0,,137440076328.0,
234030,싸이닉솔루션,기타,2025,-2382603460.0,37399088.0,4900000.0,42299088.0,-2424902548.0,,137381100000.0,
214680,디알텍,기타,2025,-20132047032.0,6475998267.0,290471217.0,6766469484.0,-26898516516.0,,137319757120.0,
156100,엘앤케이바이오,기타,2025,-13879213692.0,2990905587.0,140455095.0,3131360682.0,-17010574374.0,,137012567890.0,
007540,샘표,기타,2025,61795520420.0,22671652117.0,185046613.0,22856698730.0,38938821690.0,,136888080000.0,3.52
336680,탑런토탈솔루션,기타,2025,-9106013178.0,22430979680.0,2144190103.0,24575169783.0,-33681182961.0,,136422269630.0,
027970,한국제지,기타,2025,50093009781.0,9394896397.0,26622986.0,9421519383.0,40671490398.0,11015564731.0,136338066240.0,3.35
053700,삼보모터스,기타,2025,88379174706.0,92433071734.0,1873464207.0,94306535941.0,-5927361235.0,,136124158800.0,
123040,엠에스오토텍,기타,2025,104946063357.0,66863520074.0,222697734.0,67086217808.0,37859845549.0,,135903408830.0,3.59
063570,NICE인프라,기타,2025,82581009235.0,40145733540.0,2578651080.0,42724384620.0,39856624615.0,,135395741520.0,3.4
049950,미래컴퍼니,기타,2025,-13777237535.0,735875715.0,84847548.0,820723263.0,-14597960798.0,,135354519400.0,
025620,차AI헬스케어,기타,2025,-6711883384.0,0.0,599777987.0,599777987.0,-7311661371.0,,135255519390.0,
049080,기가레인,기타,2025,-8867724201.0,9205161073.0,649037463.0,9854198536.0,-18721922737.0,,135134288424.0,
078000,텔코웨어,기타,2025,16934383564.0,399449956.0,,399449956.0,16534933608.0,,134812723430.0,8.15
070960,모나용평,기타,2025,-20819619400.0,18883987184.0,19646720.0,18903633904.0,-39723253304.0,,134773332400.0,
009270,신원,기타,2025,-18553198456.0,20962422123.0,2077742419.0,23040164542.0,-41593362998.0,15948422563.0,134281359810.0,
006620,동구바이오제약,기타,2025,-4287240588.0,17656430138.0,2796058120.0,20452488258.0,-24739728846.0,9078086418.0,134212437280.0,
002620,제일파마홀딩스,기타,2025,390261554.0,8283449272.0,1044697397.0,9328146669.0,-8937885115.0,,134176182000.0,
282720,금양그린파워,기타,2025,15077672267.0,3248952463.0,117680000.0,3366632463.0,11711039804.0,,134162865000.0,11.46
250060,모비스,기타,2025,-2610011577.0,224250640.0,1531500.0,225782140.0,-2835793717.0,,133993522810.0,
107590,미원홀딩스,기타,2025,28596186833.0,2334137036.0,107100562.0,2441237598.0,26154949235.0,9188738792.0,133632000000.0,5.11
396470,워트,기타,2025,1929649779.0,54698499.0,23550000.0,78248499.0,1851401280.0,,133312400000.0,72.01
084670,동양고속,기타,2025,9356854413.0,7017198368.0,,7017198368.0,2339656045.0,,133196174000.0,56.93
019180,티에이치엔,기타,2025,72114548873.0,18382531581.0,,18382531581.0,53732017292.0,,133020000000.0,2.48
255440,야스,기타,2025,-12094293947.0,549552141.0,181549717.0,731101858.0,-12825395805.0,,132799860000.0,
456070,이엔셀,기타,2025,-10197459796.0,3142263451.0,5630000.0,3147893451.0,-13345353247.0,,132675465510.0,
267290,경동도시가스,기타,2025,56390723164.0,21372694609.0,5882515600.0,27255210209.0,29135512955.0,,132646635000.0,4.55
012320,경동인베스트,기타,2025,4544477081.0,1882232462.0,1484594086.0,3366826548.0,1177650533.0,,132204785700.0,112.26
024090,디씨엠,기타,2025,7192393457.0,1969341705.0,,1969341705.0,5223051752.0,,132126000000.0,25.3
269620,시스웍,기타,2025,-41662795.0,,,0.0,-41662795.0,,132090012299.0,
215100,로보로보,기타,2025,573641928.0,270377938.0,17650000.0,288027938.0,285613990.0,,132061466460.0,462.38
493330,지에프아이,기타,2025,3252828890.0,1496487090.0,43425133.0,1539912223.0,1712916667.0,,132056089740.0,77.09
042510,라온시큐어,기타,2025,6719210859.0,889298978.0,48239500.0,937538478.0,5781672381.0,,131996949720.0,22.83
092040,아미코젠,기타,2025,-24424732856.0,3707662033.0,63252941.0,3770914974.0,-28195647830.0,,131701641368.0,
